1	u
2	z
3	q
4	h
5	m
6	u
7	b
8	r
9	c
10	c
11	d
12	x
13	g
17	s
18	m
24	l
28	k
34	g
37	x
46	d
56	q
61	s
66	q
67	t
80	q
89	s
91	u
101	t
117	w
118	b
120	o
122	r
135	c
148	t
153	m
159	q
161	q
168	g
170	l
175	s
176	a
184	m
192	f
203	y
243	t
267	h
270	s
272	f
284	r
288	m
316	m
323	d
339	m
349	x
356	l
419	g
421	y
475	s
513	c
525	m
535	s
537	g
550	b
552	c
561	o
564	b
576	j
600	l
655	g
656	j
732	g
734	w
755	a
761	f
763	m
791	i
801	m
856	v
859	r
861	n
862	t
871	z
882	g
891	j
893	d
921	p
952	v
965	l
976	d
978	h
1002	w
1007	z
1031	k
1042	s
1074	r
1079	r
1098	e
1112	e
1191	j
1246	r
1249	l
1276	f
1309	g
1312	v
1368	j
1406	q
1435	v
1465	n
1470	j
1472	d
1476	c
1477	u
1500	q
1545	w
1573	k
1588	q
1590	x
1617	j
1626	n
1679	g
1725	g
1768	v
1782	s
1827	m
1839	z
1871	m
1875	a
1905	o
1983	f
2008	o
2019	e
2046	w
2050	m
2066	e
2073	q
2077	i
2194	c
2201	u
2283	k
2290	q
2307	h
2329	a
2330	v
2385	u
2395	i
2452	m
2453	y
2504	q
2527	g
2562	v
2575	y
2579	u
2596	n
2602	y
2611	p
2629	n
2636	f
2676	t
2679	f
2835	m
2854	w
2862	t
2900	c
2916	v
2920	l
2925	t
2932	i
2945	n
2964	e
3006	q
3012	l
3040	b
3112	e
3113	i
3160	g
3184	c
3233	c
3285	g
3333	z
3411	s
3422	t
3460	o
3514	l
3523	s
3530	y
3531	s
3544	b
3736	p
3754	o
3827	w
3840	l
3900	s
3908	n
3934	l
3986	w
4013	m
4020	o
4021	q
4093	b
4199	s
4202	i
4252	k
4287	o
4289	p
4295	k
4312	x
4349	x
4467	h
4507	m
4583	v
4585	c
4591	o
4592	n
4633	x
4641	z
4669	t
4672	q
4685	g
4830	p
4866	x
4902	l
4912	z
4925	f
4969	e
4976	l
4991	i
5048	a
5102	v
5132	o
5197	w
5317	u
5425	b
5498	m
5678	o
5708	p
5760	n
5782	z
5893	o
5983	o
6038	q
6121	k
6348	i
6358	k
6360	r
6365	v
6476	c
6541	x
6602	g
6610	x
6622	x
6665	t
6672	h
6699	p
6778	m
6784	b
6794	g
6849	b
7115	h
7116	m
7198	z
7201	d
7204	a
7225	c
7545	i
7627	n
7765	j
7823	h
7845	t
7870	q
7905	b
7960	t
8005	x
8089	a
8124	t
8148	z
8180	c
8201	n
8223	q
8253	q
8261	t
8292	c
8422	c
8436	q
8624	t
8727	u
8751	b
8846	f
9133	y
9175	h
9209	x
9309	o
9330	o
9417	g
9426	u
9503	m
9625	i
9711	c
9818	u
9894	z
9955	h
9956	m
node choosen: 0		with degree: 301	 with variable: n

a count is	7
b count is	12
c count is	17
d count is	7
e count is	7
f count is	9
g count is	18
h count is	10
i count is	10
j count is	8
k count is	8
l count is	13
m count is	22
n count is	11
o count is	15
p count is	7
q count is	20
r count is	8
s count is	14
t count is	16
u count is	11
v count is	11
w count is	9
x count is	13
y count is	7
z count is	11



0	p
2	z
3	q
4	h
5	m
7	b
8	r
9	c
10	c
11	d
12	x
14	z
16	x
24	l
26	z
27	p
29	o
30	g
32	m
42	y
47	s
55	m
60	z
62	r
67	t
68	r
73	s
74	j
75	p
85	o
91	u
95	j
96	f
104	z
111	q
133	q
139	i
162	q
